date,team1,team2,venue,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner
2026-03-28,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,201,9,203,4,Royal Challengers Bengaluru
2026-03-29,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,220,4,224,4,Mumbai Indians
2026-03-30,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,127,10,128,2,Rajasthan Royals
2026-03-31,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,field,162,6,165,7,Punjab Kings
2026-04-01,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,field,141,10,145,4,Delhi Capitals
2026-04-02,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,226,8,161,10,Sunrisers Hyderabad
2026-04-03,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,field,209,5,210,5,Punjab Kings
2026-04-04,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,162,6,164,4,Delhi Capitals
2026-04-04,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,bat,210,6,204,8,Rajasthan Royals
2026-04-05,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,field,156,9,160,5,Lucknow Super Giants
2026-04-05,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,field,250,3,207,10,Royal Challengers Bengaluru
2026-04-07,Rajasthan Royals,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",Mumbai Indians,field,150,3,123,9,Rajasthan Royals
2026-04-08,Gujarat Titans,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,210,4,209,8,Gujarat Titans
2026-04-09,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Lucknow Super Giants,field,181,4,182,7,Lucknow Super Giants
2026-04-10,Royal Challengers Bengaluru,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,201,8,202,4,Rajasthan Royals
2026-04-11,Sunrisers Hyderabad,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,field,219,6,223,4,Punjab Kings
2026-04-11,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,field,212,2,189,10,Chennai Super Kings
2026-04-12,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,field,164,8,165,3,Gujarat Titans
2026-04-12,Royal Challengers Bengaluru,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,240,4,222,6,Royal Challengers Bengaluru
2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field,216,6,159,10,Sunrisers Hyderabad
2026-04-14,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field,192,5,160,7,Chennai Super Kings
2026-04-15,Lucknow Super Giants,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,146,10,149,5,Royal Challengers Bengaluru
2026-04-16,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field,195,6,198,3,Punjab Kings
2026-04-17,Kolkata Knight Riders,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,bat,180,10,181,5,Gujarat Titans
2026-04-18,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,field,194,9,184,8,Sunrisers Hyderabad
2026-04-18,Royal Challengers Bengaluru,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,field,175,8,179,5,Delhi Capitals
2026-04-19,Punjab Kings,Lucknow Super Giants,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Lucknow Super Giants,field,254,7,200,5,Punjab Kings
2026-04-19,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,bat,155,9,161,6,Kolkata Knight Riders
2026-04-20,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,199,5,100,10,Mumbai Indians
2026-04-21,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,field,242,2,195,9,Sunrisers Hyderabad
2026-04-22,Rajasthan Royals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,field,159,6,119,10,Rajasthan Royals
2026-04-23,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,207,6,104,10,Chennai Super Kings
2026-04-24,Gujarat Titans,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,205,3,206,5,Royal Challengers Bengaluru
2026-04-25,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,264,2,265,4,Punjab Kings
2026-04-25,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,field,228,6,229,5,Sunrisers Hyderabad
2026-04-26,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,field,158,7,162,2,Gujarat Titans
2026-04-27,Delhi Capitals,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,field,75,10,77,1,Royal Challengers Bengaluru
2026-04-28,Punjab Kings,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,field,222,4,228,4,Rajasthan Royals
2026-04-29,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,243,5,249,4,Sunrisers Hyderabad
2026-04-30,Royal Challengers Bengaluru,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,155,10,158,6,Gujarat Titans
2026-05-01,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,225,6,226,3,Delhi Capitals
2026-05-02,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,bat,159,7,160,2,Chennai Super Kings
2026-05-03,Punjab Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,163,9,167,6,Gujarat Titans
2026-05-03,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,165,10,169,3,Kolkata Knight Riders
2026-05-04,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,228,5,229,4,Mumbai Indians
2026-05-05,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,155,7,159,2,Chennai Super Kings
2026-05-06,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,field,235,4,202,7,Sunrisers Hyderabad
2026-05-07,Lucknow Super Giants,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,field,209,3,203,6,Lucknow Super Giants
2026-05-08,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,field,142,8,147,2,Kolkata Knight Riders
2026-05-09,Gujarat Titans,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,229,4,152,10,Gujarat Titans
2026-05-10,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,203,8,208,5,Chennai Super Kings
2026-05-10,Mumbai Indians,Royal Challengers Bengaluru,"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bengaluru,field,166,7,167,8,Royal Challengers Bengaluru
2026-05-11,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field,210,5,216,7,Delhi Capitals
2026-05-12,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,field,168,5,86,10,Gujarat Titans
2026-05-13,Kolkata Knight Riders,Royal Challengers Bengaluru,"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bengaluru,field,192,4,194,4,Royal Challengers Bengaluru
2026-05-14,Punjab Kings,Mumbai Indians,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Mumbai Indians,field,200,8,205,4,Mumbai Indians
2026-05-15,Chennai Super Kings,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,field,187,5,188,3,Lucknow Super Giants
2026-05-16,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans,field,247,2,218,4,Kolkata Knight Riders
2026-05-17,Royal Challengers Bengaluru,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,field,222,4,199,8,Royal Challengers Bengaluru
2026-05-17,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,193,8,197,5,Delhi Capitals
2026-05-18,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,180,7,181,5,Sunrisers Hyderabad
2026-05-19,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,220,5,225,3,Rajasthan Royals
2026-05-20,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,147,8,148,6,Kolkata Knight Riders
2026-05-21,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,field,229,4,140,10,Gujarat Titans
2026-05-22,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,255,4,200,4,Sunrisers Hyderabad
2026-05-23,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,field,196,6,200,3,Punjab Kings
2026-05-24,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,205,8,175,9,Rajasthan Royals
2026-05-24,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,203,5,163,10,Delhi Capitals
2026-05-26,Royal Challengers Bengaluru,Gujarat Titans,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Gujarat Titans,field,254,5,162,10,Royal Challengers Bengaluru
2026-05-27,Rajasthan Royals,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,field,243,8,196,10,Rajasthan Royals
2026-05-29,Rajasthan Royals,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,bat,214,6,219,3,Gujarat Titans
2026-05-31,Gujarat Titans,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,field,155,8,161,5,Royal Challengers Bengaluru
